000d0400 020c0400 020c0400 020c0400 020c0400 020c0400 020c0400 020c0400 020c0400 020c0400 020c0400 020c0400 020c0400 020c0400 020c0400 010d0400
010c0400 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
010c0400 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 02000000 02000000 02000000 00000000 00000000
010c0400 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 02000000 02000000 02000000 00000000 00000000
010c0400 00000000 00000000 00000000 020e0400 000c0400 000c0400 000c0400 000c0400 030e0400 00000000 00000000 020e0400 000c0400 000c0400 020d0400
010c0400 00000000 00000000 00000000 030c0400 000d0400 020c0400 020c0400 020c0400 000e0400 00000000 00000000 010e0400 020c0400 020c0400 010d0400
010c0400 00000000 00000000 00000000 010e0400 000e0400 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00010400 030c0400
010c0400 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00090400 00090400 00000000 00000000 00000000 00010400 030c0400
010c0400 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 000a0400 000b0400 00000000 00000000 00000000 00010400 030c0400
010c0400 00000000 00000000 00000000 020e0400 030e0400 00000000 00000000 00000000 00080400 00080400 00000000 00000000 00000000 00010400 030c0400
010c0400 00000000 00000000 00000000 030c0400 010c0400 00010400 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00010400 030c0400
030d0400 000c0400 000c0400 000c0400 020d0400 030d0400 000c0400 000c0400 000c0400 000c0400 000c0400 000c0400 000c0400 000c0400 000c0400 020d0400
